TYPE,REGION,RGNAME,AREA,CODE,ACRO,BRNAME,EMAIL
BBG,MINDANAO,MINDANAO 1,MINDANAO 1,4009,SAD,DAVAO-STA. ANA,
BBG,MINDANAO,MINDANAO 1,MINDANAO 1,4012,SSA,DAVAO-SASA,
BBG,MINDANAO,MINDANAO 1,MINDANAO 1,4015,DGA,DAVAO-GAISANO CABANTIAN,
BBG,MINDANAO,MINDANAO 1,MINDANAO 1,4016,DJP,DAVAO-J.P. LAUREL AVE.,
BBG,MINDANAO,MINDANAO 1,MINDANAO 1,4017,DVP,DAVAO-VICTORIA PLAZA,
BBG,MINDANAO,MINDANAO 1,MINDANAO 1,4018,LDS,DAVAO-SAMAL ISLAND,
BBG,MINDANAO,MINDANAO 5,MINDANAO 5,4111,MBY,MALAYBALAY CITY-FORTICH,
BBG,NMMR,NORTH METRO MANILA 2,NMM-2,1055,FSC,Q.C.-FRISCO,
BBG,NMMR,NORTH METRO MANILA 5,NMM-5,1427,BON,MANDALUYONG-BONI AVENUE,
BBG,NOL,NORTHERN LUZON 2,NOL 2,2204,BGY,BAGUIO CITY-SESSION ROAD,
BBG,NOL,NORTHERN LUZON 5,NOL 5,2076,AMS,ALAMINOS CITY-QUEZON AVE.,
BBG,SMMR,SOUTH METRO MANILA 2,SMM-2,1208,SPN,MANILA-ESPAÑA,
BBG,SMMR,SOUTH METRO MANILA 5,SMM-5,1512,LIB,PASAY-LIBERTAD,
BBG,SMMR,SOUTH METRO MANILA 8,SMM-8,1463,SMA,LAS PIÑAS-EVIA LIFESTYLE CENTER,
BBG,SOL,SOUTHERN LUZON 4,SOL 4,2477,BOA,MARINDUQUE-BOAC,
BBG,VISAYAS,VISAYAS 1,VISAYAS 1,6320,COR,PALAWAN-CORON,
BBG,VISAYAS,VISAYAS 5,VISAYAS 5,3111,LPZ,ILOILO-LA PAZ,
BBG,MINDANAO,MINDANAO 1,MINDANAO 1,4076,DCR,DAVAO-C.M. RECTO,
BBG,MINDANAO,MINDANAO 1,MINDANAO 1,4077,DDS,DAVAO-CABAGUIO AVE.,
BBG,MINDANAO,MINDANAO 1,MINDANAO 1,4078,ADD,DAVAO-DIVERSION ROAD,
BBG,MINDANAO,MINDANAO 1,MINDANAO 1,4079,AGD,DAVAO-AGDAO,
BBG,MINDANAO,MINDANAO 1,MINDANAO 1,4080,MTV,DAVAO-MONTEVERDE CHINATOWN,
BBG,MINDANAO,MINDANAO 1,MINDANAO 1,4081,DST,DAVAO-MAGSAYSAY-LIZADA,
BBG,MINDANAO,MINDANAO 1,MINDANAO 1,4082,KID,DAVAO-CALINAN,
BBG,MINDANAO,MINDANAO 1,MINDANAO 1,4084,DMV,DAVAO-MONTEVERDE-SALES,
BBG,MINDANAO,MINDANAO 1,MINDANAO 1,4085,DTR,DAVAO-TORIL,
BBG,MINDANAO,MINDANAO 1,MINDANAO 1,4086,MTN,DAVAO-MATINA-GSIS,
BBG,MINDANAO,MINDANAO 1,MINDANAO 1,4087,TRL,DAVAO-MA-A,
BBG,MINDANAO,MINDANAO 2,MINDANAO 2,4051,CBT,COTABATO CITY-MAKAKUA,
BBG,MINDANAO,MINDANAO 2,MINDANAO 2,4052,COT,COTABATO CITY-DOROTHEO,
BBG,MINDANAO,MINDANAO 2,MINDANAO 2,4053,DDG,GENERAL SANTOS-SANTIAGO,
BBG,MINDANAO,MINDANAO 2,MINDANAO 2,4054,GNS,GENERAL SANTOS-P. ACHARON,
BBG,MINDANAO,MINDANAO 2,MINDANAO 2,4055,GSN,GENERAL SANTOS-CITY HALL DRIVE,
BBG,MINDANAO,MINDANAO 2,MINDANAO 2,4056,ISU,SULTAN KUDARAT-ISULAN,
BBG,MINDANAO,MINDANAO 2,MINDANAO 2,4057,KCC,GENERAL SANTOS-KCC MALL,
BBG,MINDANAO,MINDANAO 2,MINDANAO 2,4058,KPW,NORTH COTABATO-KIDAPAWAN,
BBG,MINDANAO,MINDANAO 2,MINDANAO 2,4059,KND,KORONADAL CITY-MORROW,
BBG,MINDANAO,MINDANAO 2,MINDANAO 2,4060,KOR,KORONADAL CITY-POBLACION,
BBG,MINDANAO,MINDANAO 2,MINDANAO 2,4061,MYP,NORTH COTABATO-MIDSAYAP,
BBG,MINDANAO,MINDANAO 2,MINDANAO 2,4062,CSP,COTABATO CITY-S.K. PENDATUN,
BBG,MINDANAO,MINDANAO 2,MINDANAO 2,4063,TRG,SULTAN KUDARAT-TACURONG,
BBG,MINDANAO,MINDANAO 2,MINDANAO 2,4064,CTK,COTABATO CITY-KCC MALL,
BBG,MINDANAO,MINDANAO 2,MINDANAO 2,4083,DGS,DAVAO DEL SUR-DIGOS,
BBG,MINDANAO,MINDANAO 3,MINDANAO 3,4004,BSG,SURIGAO DEL SUR-BISLIG CITY,
BBG,MINDANAO,MINDANAO 3,MINDANAO 3,4006,DTA,DAVAO DEL NORTE-TAGUM-APOKON,
BBG,MINDANAO,MINDANAO 3,MINDANAO 3,4010,MTI,DAVAO ORIENTAL-MATI,
BBG,MINDANAO,MINDANAO 3,MINDANAO 3,4011,PBO,DAVAO DEL NORTE-PANABO,
BBG,MINDANAO,MINDANAO 3,MINDANAO 3,4013,TGU,DAVAO DEL NORTE-TAGUM-RIZAL,
BBG,MINDANAO,MINDANAO 3,MINDANAO 3,4026,ASR,AGUSAN DEL SUR-SAN FRANCISCO,
BBG,MINDANAO,MINDANAO 3,MINDANAO 3,4027,BYU,AGUSAN DEL SUR-BAYUGAN CITY,
BBG,MINDANAO,MINDANAO 3,MINDANAO 3,4028,BTA,BUTUAN CITY-MONTILLA,
BBG,MINDANAO,MINDANAO 3,MINDANAO 3,4029,BTN,BUTUAN CITY-J.C. AQUINO,
BBG,MINDANAO,MINDANAO 3,MINDANAO 3,4032,SGO,SURIGAO CITY-RIZAL,
BBG,MINDANAO,MINDANAO 3,MINDANAO 3,4035,TDG,SURIGAO DEL SUR-TANDAG CITY,
BBG,MINDANAO,MINDANAO 3,MINDANAO 3,4036,SID,SIARGAO ISLAND-DAPA,
BBG,MINDANAO,MINDANAO 3,MINDANAO 3,4038,SIG,SIARGAO ISLAND-GEN. LUNA,
BBG,MINDANAO,MINDANAO 4,MINDANAO 4,4030,GNG,MISAMIS ORIENTAL-GINGOOG CITY,
BBG,MINDANAO,MINDANAO 4,MINDANAO 4,4031,MBJ,CAMIGUIN-MAMBAJAO,
BBG,MINDANAO,MINDANAO 4,MINDANAO 4,4034,SWN,SURIGAO CITY-SAN NICOLAS,
BBG,MINDANAO,MINDANAO 4,MINDANAO 4,4039,CUP,CDO-UPTOWN,
BBG,MINDANAO,MINDANAO 4,MINDANAO 4,4101,CDO,CDO-CORRALES-CHAVES,
BBG,MINDANAO,MINDANAO 4,MINDANAO 4,4102,LPN,CDO-LAPASAN HIGHWAY,
BBG,MINDANAO,MINDANAO 4,MINDANAO 4,4103,CCP,CDO-TIANO,
BBG,MINDANAO,MINDANAO 4,MINDANAO 4,4104,CRM,CDO-CARMEN,
BBG,MINDANAO,MINDANAO 4,MINDANAO 4,4105,CAG,CDO-COGON,
BBG,MINDANAO,MINDANAO 4,MINDANAO 4,4108,LKK,CDO-LIMKETKAI DRIVE,
BBG,MINDANAO,MINDANAO 4,MINDANAO 4,4110,MBL,MALAYBALAY CITY-RIZAL,
BBG,MINDANAO,MINDANAO 4,MINDANAO 4,4115,VLN,BUKIDNON-MARAMAG,
BBG,MINDANAO,MINDANAO 4,MINDANAO 4,4116,VLC,VALENCIA CITY-MABINI,
BBG,MINDANAO,MINDANAO 4,MINDANAO 4,6327,CCO,CDO-TIN-AO,
BBG,MINDANAO,MINDANAO 5,MINDANAO 5,4106,ILI,ILIGAN CITY-AGUINALDO,
BBG,MINDANAO,MINDANAO 5,MINDANAO 5,4107,ILG,ILIGAN CITY-QUEZON,
BBG,MINDANAO,MINDANAO 5,MINDANAO 5,4112,MRW,MARAWI CITY-MSU CAMPUS,
BBG,MINDANAO,MINDANAO 5,MINDANAO 5,4114,PLO,ILIGAN CITY-PALA-O,
BBG,MINDANAO,MINDANAO 5,MINDANAO 5,4126,BUG,ZAMBOANGA SIBUGAY-BUUG,
BBG,MINDANAO,MINDANAO 5,MINDANAO 5,4127,DPL,DIPOLOG CITY-GEN. LUNA,
BBG,MINDANAO,MINDANAO 5,MINDANAO 5,4131,MRD,LANAO DEL NORTE-MARANDING,
BBG,MINDANAO,MINDANAO 5,MINDANAO 5,4132,MOL,ZAMBOANGA DEL SUR-MOLAVE,
BBG,MINDANAO,MINDANAO 5,MINDANAO 5,4133,ORQ,MISAMIS OCC.-OROQUIETA CITY,
BBG,MINDANAO,MINDANAO 5,MINDANAO 5,4134,OZS,OZAMIS CITY-RIZAL AVE.,
BBG,MINDANAO,MINDANAO 5,MINDANAO 5,4136,PGZ,PAGADIAN CITY-PAJARES,
BBG,MINDANAO,MINDANAO 5,MINDANAO 5,4137,PGN,PAGADIAN CITY-RIZAL AVE.,
BBG,MINDANAO,MINDANAO 5,MINDANAO 5,4138,SDN,ZAMBOANGA DEL NORTE-SINDANGAN,
CCU,MINDANAO,MINDANAO,MINDANAO 5,8025,HZO,NORTH MIN LOANS SERVICE CENTER,
BBG,MINDANAO,MINDANAO 6,MINDANAO 6,4128,DIP,DIPOLOG CITY-RIZAL,
BBG,MINDANAO,MINDANAO 6,MINDANAO 6,4129,IPL,ZAMBOANGA SIBUGAY-IPIL,
BBG,MINDANAO,MINDANAO 6,MINDANAO 6,4130,LLY,ZAMBOANGA DEL NORTE-LILOY,
BBG,MINDANAO,MINDANAO 6,MINDANAO 6,4135,OZM,OZAMIS CITY-BURGOS,
BBG,MINDANAO,MINDANAO 6,MINDANAO 6,4151,BAS,BASILAN-ISABELA-ROXAS,
BBG,MINDANAO,MINDANAO 6,MINDANAO 6,4153,CLM,ZAMBOANGA-CLIMACO,
BBG,MINDANAO,MINDANAO 6,MINDANAO 6,4155,JGA,JOLO-AROLAS,
BBG,MINDANAO,MINDANAO 6,MINDANAO 6,4156,SBN,ZAMBOANGA-SUCABON,
BBG,MINDANAO,MINDANAO 6,MINDANAO 6,4158,TWI,TAWI-TAWI-BONGAO,
BBG,MINDANAO,MINDANAO 6,MINDANAO 6,4159,ZBG,ZAMBOANGA-J.S. ALANO,
BBG,MINDANAO,MINDANAO 6,MINDANAO 6,4160,CNZ,ZAMBOANGA-CANELAR,
BBG,MINDANAO,MINDANAO 6,MINDANAO 6,4161,GWN,ZAMBOANGA-KCC MALL,
BBG,MINDANAO,MINDANAO 6,MINDANAO 6,4162,AVZ,ZAMBOANGA-MCLL HIGHWAY,
BBG,MINDANAO,MINDANAO 6,MINDANAO 6,4163,ZAM,ZAMBOANGA-SAN JOSE,
BBG,MINDANAO,MINDANAO 6,MINDANAO 6,4164,TTN,ZAMBOANGA-TETUAN,
BBG,MINDANAO,MINDANAO 6,MINDANAO 6,4165,VTS,ZAMBOANGA-VETERANS AVENUE,
BBG,MINDANAO,MINDANAO 7,MINDANAO 7,4152,BSL,BASILAN-ISABELA-STRONG BLVD.,
BBG,NMMR,NORTH METRO MANILA 1,NMM-1,1001,GLV,VALENZUELA-GEN. T. DE LEON,
BBG,NMMR,NORTH METRO MANILA 1,NMM-1,1002,GOV,MALABON-GOV. PASCUAL,
BBG,NMMR,NORTH METRO MANILA 1,NMM-1,1004,MAL,MALABON-RIZAL AVE.,
BBG,NMMR,NORTH METRO MANILA 1,NMM-1,1005,MLY,VALENZUELA-MALINTA,
BBG,NMMR,NORTH METRO MANILA 1,NMM-1,1006,MRL,MALABON-POTRERO,
BBG,NMMR,NORTH METRO MANILA 1,NMM-1,1007,NAV,NAVOTAS-M. NAVAL,
BBG,NMMR,NORTH METRO MANILA 1,NMM-1,1009,PDB,VALENZUELA-PASO DE BLAS,
BBG,NMMR,NORTH METRO MANILA 1,NMM-1,1010,VLZ,VALENZUELA-KARUHATAN,
BBG,NMMR,NORTH METRO MANILA 1,NMM-1,1011,VAL,VALENZUELA-MACARTHUR,
BBG,NMMR,NORTH METRO MANILA 1,NMM-1,1027,CLK,CALOOCAN-SANGANDAAN,
BBG,NMMR,NORTH METRO MANILA 1,NMM-1,1028,CAL,CALOOCAN-RIZAL AVE. EXT.,
BBG,NMMR,NORTH METRO MANILA 1,NMM-1,1029,CAM,CALOOCAN-A. MABINI,
BBG,NMMR,NORTH METRO MANILA 1,NMM-1,1032,GPK,CALOOCAN-GRACE PARK-10TH AVE.,
BBG,NMMR,NORTH METRO MANILA 1,NMM-1,1033,GPA,CALOOCAN-GRACE PARK-3RD AVE.,
BBG,NMMR,NORTH METRO MANILA 1,NMM-1,1034,GRP,CALOOCAN-GRACE PARK-7TH AVE.,
BBG,NMMR,NORTH METRO MANILA 1,NMM-1,1035,MNM,CALOOCAN-MONUMENTO,
BBG,NMMR,NORTH METRO MANILA 1,NMM-1,6335,VVC,VALENZUELA-MACARTHUR-MARULAS,
BBG,NMMR,NORTH METRO MANILA 1,NMM-1,6352,CNC,CALOOCAN-10TH AVE. SOUTH,
BBG,NMMR,NORTH METRO MANILA 2,NMM-2,1026,ABO,Q.C.-A. BONIFACIO,
BBG,NMMR,NORTH METRO MANILA 2,NMM-2,1030,EBK,CALOOCAN-EDSA BALINTAWAK,
BBG,NMMR,NORTH METRO MANILA 2,NMM-2,1036,SAM,CALOOCAN-SAMSON ROAD,
BBG,NMMR,NORTH METRO MANILA 2,NMM-2,1051,DEL,Q.C.-DEL MONTE,
BBG,NMMR,NORTH METRO MANILA 2,NMM-2,1052,DLT,Q.C.-QUEZON AVE.,
BBG,NMMR,NORTH METRO MANILA 2,NMM-2,1053,EDR,Q.C.-EDSA-ROOSEVELT,
BBG,NMMR,NORTH METRO MANILA 2,NMM-2,1054,ABB,Q.C.-EDSA-ETON CENTRIS,
BBG,NMMR,NORTH METRO MANILA 2,NMM-2,1056,SDM,Q.C.-DEL MONTE-FRISCO,
BBG,NMMR,NORTH METRO MANILA 2,NMM-2,1057,GRV,Q.C.-GRACE VILLAGE,
BBG,NMMR,NORTH METRO MANILA 2,NMM-2,1060,RSV,Q.C.-ROOSEVELT AVE.,
BBG,NMMR,NORTH METRO MANILA 2,NMM-2,1062,WES,Q.C.-WEST TRIANGLE,
BBG,NMMR,NORTH METRO MANILA 2,NMM-2,1102,COA,Q.C.-COA,
BBG,NMMR,NORTH METRO MANILA 2,NMM-2,1203,BNX,Q.C.-BANAWE-N. ROXAS,
BBG,NMMR,NORTH METRO MANILA 2,NMM-2,1206,ERA,Q.C.-E. RODRIGUEZ-G. ARANETA,
BBG,NMMR,NORTH METRO MANILA 2,NMM-2,1214,RET,Q.C.-N.S. AMORANTO,
BBG,NMMR,NORTH METRO MANILA 2,NMM-2,1280,KAM,Q.C.-TIMOG EDSA,
BBG,NMMR,NORTH METRO MANILA 3,NMM-3,1077,MAT,Q.C.-MATALINO,
BBG,NMMR,NORTH METRO MANILA 3,NMM-3,1079,MWS,Q.C.-MWSS,
BBG,NMMR,NORTH METRO MANILA 3,NMM-3,1080,NFA,Q.C.-NFA,
BBG,NMMR,NORTH METRO MANILA 3,NMM-3,1081,NCP,Q.C.-NPC,
BBG,NMMR,NORTH METRO MANILA 3,NMM-3,1082,PJE,Q.C.-PROJECT 8,
BBG,NMMR,NORTH METRO MANILA 3,NMM-3,1083,QCC,Q.C.-ELLIPTICAL ROAD,
BBG,NMMR,NORTH METRO MANILA 3,NMM-3,1084,SSS,Q.C.-SSS DILIMAN,
BBG,NMMR,NORTH METRO MANILA 3,NMM-3,1086,UPC,Q.C.-UP CAMPUS,
BBG,NMMR,NORTH METRO MANILA 3,NMM-3,1227,ETO,Q.C.-ETON-CORINTHIAN,
BBG,NMMR,NORTH METRO MANILA 3,NMM-3,1230,KPN,Q.C.-KATIPUNAN-ST. IGNATIUS,
BBG,NMMR,NORTH METRO MANILA 3,NMM-3,1252,LBS,Q.C.-ACROPOLIS,
BBG,NMMR,NORTH METRO MANILA 3,NMM-3,1276,ALI,Q.C.-ARANETA CENTER,
BBG,NMMR,NORTH METRO MANILA 3,NMM-3,1277,AKA,Q.C.-KATIPUNAN-AURORA BLVD.,
BBG,NMMR,NORTH METRO MANILA 3,NMM-3,1278,QBO,Q.C.-CUBAO MAIN,
BBG,NMMR,NORTH METRO MANILA 3,NMM-3,1279,CBO,Q.C.-CUBAO-HARVARD,
BBG,NMMR,NORTH METRO MANILA 3,NMM-3,1281,KTP,Q.C.-KATIPUNAN-LOYOLA HEIGHTS,
BBG,NMMR,NORTH METRO MANILA 3,NMM-3,1286,PTU,Q.C.-P. TUAZON,
BBG,NMMR,NORTH METRO MANILA 4,NMM-4,1076,CGR,Q.C.-VISAYAS AVENUE,
BBG,NMMR,NORTH METRO MANILA 4,NMM-4,1078,MND,Q.C.-MINDANAO AVENUE,
BBG,NMMR,NORTH METRO MANILA 4,NMM-4,1085,TDS,Q.C.-TANDANG SORA,
BBG,NMMR,NORTH METRO MANILA 4,NMM-4,1087,COM,Q.C.-VISAYAS CONGRESSIONAL,
BBG,NMMR,NORTH METRO MANILA 4,NMM-4,1101,BPB,Q.C.-BATASANG PAMBANSA,
BBG,NMMR,NORTH METRO MANILA 4,NMM-4,1103,CMW,Q.C.-COMMONWEALTH AVENUE,
BBG,NMMR,NORTH METRO MANILA 4,NMM-4,1104,DAH,Q.C.-DON ANTONIO HEIGHTS,
BBG,NMMR,NORTH METRO MANILA 4,NMM-4,1105,EVR,Q.C.-EVER COMMONWEALTH,
BBG,NMMR,NORTH METRO MANILA 4,NMM-4,1106,FAR,Q.C.-FAIRVIEW-REGALADO AVE.,
BBG,NMMR,NORTH METRO MANILA 4,NMM-4,1107,FRV,Q.C.-FAIRVIEW COMMONWEALTH,
BBG,NMMR,NORTH METRO MANILA 4,NMM-4,1108,LGR,Q.C.-LAGRO,
BBG,NMMR,NORTH METRO MANILA 4,NMM-4,1109,LRO,Q.C.-LAGRO-QUIRINO,
BBG,NMMR,NORTH METRO MANILA 4,NMM-4,1110,MRZ,RIZAL-MONTALBAN,
BBG,NMMR,NORTH METRO MANILA 4,NMM-4,1112,NVA,Q.C.-NOVALICHES-TALIPAPA,
BBG,NMMR,NORTH METRO MANILA 4,NMM-4,1113,NOV,Q.C.-NOVALICHES-GULOD,
BBG,NMMR,NORTH METRO MANILA 4,NMM-4,1114,SMT,RIZAL-SAN MATEO,
BBG,NMMR,NORTH METRO MANILA 4,NMM-4,1115,ZQH,Q.C.-S&R COMMONWEALTH,
BBG,NMMR,NORTH METRO MANILA 5,NMM-5,1228,SJN,PASIG-JULIA VARGAS,
BBG,NMMR,NORTH METRO MANILA 5,NMM-5,1229,KPS,PASIG-KAPASIGAN,
BBG,NMMR,NORTH METRO MANILA 5,NMM-5,1231,MDL,MANDALUYONG-HIGHWAY HILLS,
BBG,NMMR,NORTH METRO MANILA 5,NMM-5,1232,OTC,PASIG-ORTIGAS CENTER,
BBG,NMMR,NORTH METRO MANILA 5,NMM-5,1233,OTG,PASIG-ORTIGAS GARNET,
BBG,NMMR,NORTH METRO MANILA 5,NMM-5,1234,PIG,PASIG-CAPITOL COMMONS,
BBG,NMMR,NORTH METRO MANILA 5,NMM-5,1235,PSW,PASIG-SHAW,
BBG,NMMR,NORTH METRO MANILA 5,NMM-5,1236,SHP,MANDALUYONG-SHANGRI-LA PLAZA,
BBG,NMMR,NORTH METRO MANILA 5,NMM-5,1237,SHW,MANDALUYONG-SHAW BLVD.,
BBG,NMMR,NORTH METRO MANILA 5,NMM-5,1239,MCR,MANDALUYONG-CENTERA-RELIANCE,
BBG,NMMR,NORTH METRO MANILA 5,NMM-5,1311,RSO,PASIG-TIENDESITAS,
BBG,NMMR,NORTH METRO MANILA 5,NMM-5,1312,STL,PASIG-SANTOLAN,
BBG,NMMR,NORTH METRO MANILA 5,NMM-5,1435,MSW,MANDALUYONG-SHAW-ACACIA LANE,
BBG,NMMR,NORTH METRO MANILA 5,NMM-5,1437,PNR,MANDALUYONG-PIONEER,
BBG,NMMR,NORTH METRO MANILA 5,NMM-5,1449,MDG,MANDALUYONG-D. GUEVARRA,
BBG,NMMR,NORTH METRO MANILA 5,NMM-5,6360,PGC,PASIG-KAPITOLYO,
BBG,NMMR,NORTH METRO MANILA 6,NMM-6,1059,QQC,Q.C.-QUADRANGLE,
BBG,NMMR,NORTH METRO MANILA 6,NMM-6,1061,WSA,Q.C.-WEST AVENUE,
BBG,NMMR,NORTH METRO MANILA 6,NMM-6,1207,ERB,Q.C.-TOMAS MORATO,
BBG,NMMR,NORTH METRO MANILA 6,NMM-6,1209,ESP,Q.C.-WELCOME ROTONDA,
BBG,NMMR,NORTH METRO MANILA 6,NMM-6,1210,GLS,Q.C.-GALAS,
BBG,NMMR,NORTH METRO MANILA 6,NMM-6,1251,ARO,Q.C.-ROCES AVENUE,
BBG,NMMR,NORTH METRO MANILA 6,NMM-6,1253,ANN,SAN JUAN-ANNAPOLIS,
BBG,NMMR,NORTH METRO MANILA 6,NMM-6,1255,GTA,Q.C.-UERMMMC,
BBG,NMMR,NORTH METRO MANILA 6,NMM-6,1256,GLM,SAN JUAN-JOSE ABAD SANTOS,
BBG,NMMR,NORTH METRO MANILA 6,NMM-6,1257,GRA,Q.C.-GRANADA,
BBG,NMMR,NORTH METRO MANILA 6,NMM-6,1258,GRH,GREENHILLS-CLUB FILIPINO DRIVE,
BBG,NMMR,NORTH METRO MANILA 6,NMM-6,1259,GRN,GREENHILLS-ORTIGAS AVE.,
BBG,NMMR,NORTH METRO MANILA 6,NMM-6,1260,KMG,Q.C.-KAMUNING,
BBG,NMMR,NORTH METRO MANILA 6,NMM-6,1261,NML,Q.C.-NEW MANILA,
BBG,NMMR,NORTH METRO MANILA 6,NMM-6,1262,SJU,SAN JUAN-F. BLUMENTRITT,
BBG,NMMR,NORTH METRO MANILA 6,NMM-6,1263,TMO,Q.C.-TIMOG,
BBG,NMMR,NORTH METRO MANILA 6,NMM-6,6364,ORT,SAN JUAN-ETON SQUARE ORTIGAS,
BBG,NMMR,NORTH METRO MANILA 7,NMM-7,1282,MRK,MARIKINA-SHOE AVE.,
BBG,NMMR,NORTH METRO MANILA 7,NMM-7,1283,CCM,MARIKINA-CONCEPCION,
BBG,NMMR,NORTH METRO MANILA 7,NMM-7,1284,SEM,MARIKINA-CALUMPANG,
BBG,NMMR,NORTH METRO MANILA 7,NMM-7,1285,MTU,MARIKINA-A. TUAZON,
BBG,NMMR,NORTH METRO MANILA 7,NMM-7,1289,MLI,MARIKINA-LILAC,
BBG,NMMR,NORTH METRO MANILA 7,NMM-7,1301,ANG,RIZAL-ANGONO,
BBG,NMMR,NORTH METRO MANILA 7,NMM-7,1302,ATP,ANTIPOLO-P. OLIVEROS,
